Component;Bep.periode;Eenheid; Begindatumtijd;Einddatumtijd;NL10131;NL10136;NL10138;NL10230;NL10240;NL10241;NL10247;NL10248;NL10404;NL10418;NL10444;NL10449;NL10450;NL10538;NL10636;NL10641;NL10643;NL10644;NL10738;NL10741;NL10742;NL10821;NL10934;NL10937;NL10938
PM2.5;uur;�g/m�;2024-01-01T00:00:00+01:00;2024-01-01T01:00:00+01:00;26.34;17.569;196.664;7.206;205.484;261.442;200.584;34.52;458.716;220.87;131.298;761.046;350.72;23.763;152.27;56.446;193.136;32.318;103.858;171.674;170.4;;33.504;222.242;77.731
PM2.5;uur;�g/m�;2024-01-01T01:00:00+01:00;2024-01-01T02:00:00+01:00;13.286;6.476;7.945;6.206;29.153;18.235;89.658;13.59;89.158;20.744;78.133;58.513;85.855;76.34;38.561;74.634;43.157;17.775;41.902;31.642;28.418;80.25;22.939;67.765;40.393
PM2.5;uur;�g/m�;2024-01-01T02:00:00+01:00;2024-01-01T03:00:00+01:00;8.413;5.956;5.294;4.622;4.508;3.608;9.005;10.17;57.935;5.107;24.017;8.677;30.74;51.271;16.569;15.893;8.778;2.241;15.913;4.273;3.326;102.976;25.693;32.377;40.011
PM2.5;uur;�g/m�;2024-01-01T03:00:00+01:00;2024-01-01T04:00:00+01:00;6.688;2.535;3.373;1.089;2.821;6.713;7.182;11.88;22.283;5.337;17.657;8.704;16.168;19.186;4.876;10.415;4.973;0.373;6.845;7.112;5.869;7.136;35.542;28.212;26.487
PM2.5;uur;�g/m�;2024-01-01T04:00:00+01:00;2024-01-01T05:00:00+01:00;8.42;4.116;6.501;15.384;3.452;5.352;4.773;9.227;10.514;7.026;3.303;6.59;4.511;7.34;2.735;9.611;7.089;1.479;6.508;3.636;5.914;6.712;19.431;10.297;12.071
PM2.5;uur;�g/m�;2024-01-01T05:00:00+01:00;2024-01-01T06:00:00+01:00;6.904;5.295;5.06;1.28;3.233;6.222;2.883;10.35;7.375;5.851;6.704;7.684;3.936;6.725;2.377;10.376;5.561;-2.007;5.549;3.627;3.776;5.325;11.738;4.977;9.756
PM2.5;uur;�g/m�;2024-01-01T06:00:00+01:00;2024-01-01T07:00:00+01:00;5.782;4.356;3.951;12.091;2.644;4.688;3.821;7.614;4.462;3.1;7.756;5.715;3.215;4.198;4.158;6.168;7.816;2.271;3.717;5.524;4.114;;9.994;0.612;5.832
PM2.5;uur;�g/m�;2024-01-01T07:00:00+01:00;2024-01-01T08:00:00+01:00;7.785;4.442;4.48;5.984;4.708;1.718;5.011;10.38;2.8;2.514;5.167;4.763;0.746;8.111;7.38;14.482;5.711;2.449;5.093;6.178;6.174;;8.35;4.264;4.316
PM2.5;uur;�g/m�;2024-01-01T08:00:00+01:00;2024-01-01T09:00:00+01:00;7.491;3.145;0.75;5.508;4.716;0.549;7.005;7.636;2.132;2.626;2.319;3.622;7.371;6.705;4.363;6.256;7.11;0.019;7.74;8.808;5.818;4.195;7.293;1.336;2.719
PM2.5;uur;�g/m�;2024-01-01T09:00:00+01:00;2024-01-01T10:00:00+01:00;8.593;1.084;-0.382;10.033;3.785;0.432;7.159;5.793;1.685;2.894;0.441;1.685;4.642;5.823;1.555;7.446;4.997;-0.47;6.336;7.336;4.725;1.546;5.679;;3.194
PM2.5;uur;�g/m�;2024-01-01T10:00:00+01:00;2024-01-01T11:00:00+01:00;6.497;-0.463;4.128;5.573;3.001;2.574;4.168;14.15;1.32;5.959;1.336;2.615;6.18;3.972;3.629;9.719;7.964;0.153;3.195;1.145;3.926;2.478;3.172;;2.174
PM2.5;uur;�g/m�;2024-01-01T11:00:00+01:00;2024-01-01T12:00:00+01:00;7.858;0.32;2.866;6.573;4.964;7.169;5.316;10.93;3.623;5.311;2.502;5.633;8.457;3.138;5.308;7.674;6.554;2.806;4.322;1.76;4.034;4.737;5.23;;0.628
PM2.5;uur;�g/m�;2024-01-01T12:00:00+01:00;2024-01-01T13:00:00+01:00;9.763;5.245;1.517;8.857;4.319;8.255;9.674;9.547;4.19;6.455;2.773;3.677;9.415;3.224;7.335;8.729;5.422;2.486;6.381;1.802;5.152;2.573;9.827;;0.336
PM2.5;uur;�g/m�;2024-01-01T13:00:00+01:00;2024-01-01T14:00:00+01:00;10.217;6.24;6.589;7.639;1.989;6.614;14.56;10.81;4.277;5.054;3.248;3.907;11.121;4.786;4.799;6.902;9.768;4.124;6.126;3.446;5.042;2.283;7.6;-1.056;3.999
PM2.5;uur;�g/m�;2024-01-01T14:00:00+01:00;2024-01-01T15:00:00+01:00;10.476;7.619;4.69;16.912;5.346;11.091;9.489;14.36;7.147;3.923;6.826;5.221;7.036;3.126;1.816;5.715;6.952;4.929;4.121;3.63;1.462;0.981;4.689;0.131;5.151
PM2.5;uur;�g/m�;2024-01-01T15:00:00+01:00;2024-01-01T16:00:00+01:00;7.942;5.527;5.558;7.637;9.009;9.749;11.326;14.38;5.419;4.114;5.893;4.403;6.916;1.143;4.242;9.043;12.777;3.619;4.872;5.333;2.823;1.331;8.11;-1.933;2.616
PM2.5;uur;�g/m�;2024-01-01T16:00:00+01:00;2024-01-01T17:00:00+01:00;10.088;4.578;4.823;14.217;5.567;8.945;9.589;17.04;2.967;5.232;5.564;8.523;9.729;3.054;5.68;8.69;8.625;4.082;3.573;5.405;4.026;6.003;7.023;;0.481
PM2.5;uur;�g/m�;2024-01-01T17:00:00+01:00;2024-01-01T18:00:00+01:00;10.117;3.645;2.452;6.911;8.568;7.649;8.097;6.998;3.625;6.057;9.756;7.187;9.219;2.424;7.383;8.161;8.857;5.449;9.71;6.202;4.66;8.551;6.473;;-0.438
PM2.5;uur;�g/m�;2024-01-01T18:00:00+01:00;2024-01-01T19:00:00+01:00;12.346;10.573;7.139;9.709;7.509;10.101;12.444;13.13;9.066;9.224;8.778;3.347;14.805;2.101;8.349;10.954;7.847;4.358;9.691;3.745;7.637;10.721;5.183;-0.307;-0.187
PM2.5;uur;�g/m�;2024-01-01T19:00:00+01:00;2024-01-01T20:00:00+01:00;7.965;8.329;7.485;2.671;4.998;12.522;10.237;16.02;11.581;7.869;10.186;1.199;11.934;4.316;8.353;9.229;12.13;5.865;8.176;6.727;5.274;9.445;4.076;1.921;5.679
PM2.5;uur;�g/m�;2024-01-01T20:00:00+01:00;2024-01-01T21:00:00+01:00;9.29;5.201;7.358;8.333;4.756;8.561;9.64;12.39;8.174;5.104;7.824;5.377;9.043;3.577;8.775;7.204;8.935;5.486;10.75;7.614;5.399;9.395;6.177;1.412;7.28
PM2.5;uur;�g/m�;2024-01-01T21:00:00+01:00;2024-01-01T22:00:00+01:00;7.843;4.027;5.968;9.131;4.09;6.324;8.504;13.66;7.469;5.385;6.45;7.275;4.982;5.631;7.949;10.454;5.763;4.329;7.574;10.405;6.361;7.57;7.516;2.853;8.014
PM2.5;uur;�g/m�;2024-01-01T22:00:00+01:00;2024-01-01T23:00:00+01:00;5.885;4.267;5.285;15.785;6.85;14.08;11.307;10.66;4.884;5.524;7.782;10.361;6.731;7.534;6.253;8.847;2.54;1.902;6.439;7.324;4.918;5.961;5.883;6.863;6.792
PM2.5;uur;�g/m�;2024-01-01T23:00:00+01:00;2024-01-02T00:00:00+01:00;6.432;3.954;3.31;3.987;4.737;10.346;12.61;9.933;3.24;5.361;8.644;7.423;8.984;7.572;5.851;10.944;8.689;1.677;3.385;5.849;5.058;6.486;4.321;7.33;7.205
PM2.5;uur;�g/m�;2024-01-02T00:00:00+01:00;2024-01-02T01:00:00+01:00;6.363;;;9.974;1.888;9.866;8.406;12.22;;4.298;13.424;2.792;12.336;3.275;4.039;10.131;6.791;3.64;5.573;7.861;;;9.876;;6.805
PM2.5;uur;�g/m�;2024-01-02T01:00:00+01:00;2024-01-02T02:00:00+01:00;4.748;;;7.937;1.372;5.375;4.373;8.068;;4.379;11.679;0.416;13.169;2.372;3.972;6.689;2.283;1.669;8.31;5.13;;;9.925;;4.312
PM2.5;uur;�g/m�;2024-01-02T02:00:00+01:00;2024-01-02T03:00:00+01:00;5.999;;;3.307;0.053;2.537;1.902;7.387;;3.287;7.896;-0.788;7.269;2.704;2.148;6.164;3.209;-2.511;6.437;3.414;;;6.137;;3.908
PM2.5;uur;�g/m�;2024-01-02T03:00:00+01:00;2024-01-02T04:00:00+01:00;5.086;;;0.447;0.791;2.208;3.664;7.134;;-0.201;3.311;-0.88;3.335;4.009;1.934;3.492;3.595;-5.037;5.45;1.544;;;5.518;;5.841
PM2.5;uur;�g/m�;2024-01-02T04:00:00+01:00;2024-01-02T05:00:00+01:00;5.264;;;2.943;1.557;0.175;3.255;4.677;;-0.613;0.025;-0.978;1.069;1.432;3.13;-0.488;2.695;-0.087;3.812;4.827;;;4.495;;5.815
PM2.5;uur;�g/m�;2024-01-02T05:00:00+01:00;2024-01-02T06:00:00+01:00;4.214;;;2.44;0.674;0.519;4.289;5.181;;-0.841;1.252;;0.997;-3.208;-0.051;3.207;0.692;2.385;0.159;3.156;;;4.513;;2.257
PM2.5;uur;�g/m�;2024-01-02T06:00:00+01:00;2024-01-02T07:00:00+01:00;2.774;;;1.388;0.795;0.655;2.27;4.401;;-0.295;4.799;-2.728;3.27;;;7.423;-0.144;-0.714;-1.016;1.853;;;4.131;;
